latitud,longitud,municipio,departamento,provincia
-36.700206757,-68.372016907,MALARGUE,MALARGUE,MENDOZA
-36.702293396,-69.942199707,MALARGUE,MALARGUE,MENDOZA
-37.137336731,-69.583343506,MALARGUE,MALARGUE,MENDOZA
-36.280342102,-68.570884705,MALARGUE,MALARGUE,MENDOZA
-36.26989321,-69.85749485,MALARGUE,MALARGUE,MENDOZA
-36.479148865,-69.826599121,MALARGUE,MALARGUE,MENDOZA
-35.916114807,-69.768753052,MALARGUE,MALARGUE,MENDOZA
-37.201000214,-69.107246399,MALARGUE,MALARGUE,MENDOZA
-35.870882529,-69.806678072,MALARGUE,MALARGUE,MENDOZA
-36.149475098,-68.346611023,MALARGUE,MALARGUE,MENDOZA
-35.813093855,-69.190692234,MALARGUE,MALARGUE,MENDOZA
-35.546673212,-69.901221615,MALARGUE,MALARGUE,MENDOZA
-35.1541609,-69.95182839,MALARGUE,MALARGUE,MENDOZA
-31.18595404,-65.247435865,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
-31.191163672,-65.363438827,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
-31.124210161,-65.226900206,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
-31.215607141,-65.355274494,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
-31.147468567,-65.182685852,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
-31.222911549,-65.302735852,ESTANCIA DE GUADALUPE,MINAS,CÓRDOBA
-32.84946108,-61.254556908,CORREA,IRIONDO,SANTA FE
-32.929034308,-61.265623766,CORREA,IRIONDO,SANTA FE
-32.9365041,-61.2560121,CORREA,IRIONDO,SANTA FE
-49.331973118,-72.891626709,EL CHALTEN,LAGO ARGENTINO,SANTA CRUZ
-33.914783802,-60.943808185,COLON,COLON,BUENOS AIRES
-33.9462889,-61.2276668,COLON,COLON,BUENOS AIRES
-33.970424262,-61.076205346,COLON,COLON,BUENOS AIRES
-34.052335309,-61.201904091,COLON,COLON,BUENOS AIRES
-33.651896303,-60.892223988,COLON,COLON,BUENOS AIRES
-33.897863361,-61.099560506,COLON,COLON,BUENOS AIRES
-37.6438,-59.8529,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.670477889,-59.400353339,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.660797119,-59.566123966,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.64241113,-59.388938031,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.676641021,-59.805767711,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.5763984,-60.1392005,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.554512085,-59.627846154,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.747276306,-59.816402438,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.3214623,-60.292086,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.608386994,-59.514564518,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-37.368368625,-59.76303916,BENITO JUAREZ,BENITO JUAREZ,BUENOS AIRES
-30.594407458,-58.468262706,LOS CONQUISTADORES,FEDERACION,ENTRE RÍOS
-27.48964879,-61.673877171,GANCEDO,12 DE OCTUBRE,CHACO
-27.38206532,-61.62596109,GANCEDO,12 DE OCTUBRE,CHACO
-33.152989183,-62.856073778,LABORDE,UNION,CÓRDOBA
-32.721271306,-59.395888703,GENERAL GALARZA,GUALEGUAY,ENTRE RÍOS
-24.709346771,-65.288383484,LA CALDERA,LA CALDERA,SALTA
-24.603539,-65.380166,LA CALDERA,LA CALDERA,SALTA
-24.6632061,-65.310188294,LA CALDERA,LA CALDERA,SALTA
-24.64152455,-65.38083679,LA CALDERA,LA CALDERA,SALTA
-24.471033096,-65.376625061,LA CALDERA,LA CALDERA,SALTA
-24.53203392,-65.293510437,LA CALDERA,LA CALDERA,SALTA
-24.604948623,-65.38233773,LA CALDERA,LA CALDERA,SALTA
-24.686607223,-65.286726845,LA CALDERA,LA CALDERA,SALTA
-24.57701543,-65.368728969,LA CALDERA,LA CALDERA,SALTA
-28.419848734,-65.698837796,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.412788451,-65.717536986,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.373447348,-65.708129252,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.349557681,-65.709119588,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.301939011,-65.72743988,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.275466521,-65.733431478,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.36167764,-65.728269016,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.388732146,-65.706270125,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.317843246,-65.742344719,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.308717374,-65.722209844,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-28.423776679,-65.706213432,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,CATAMARCA
-37.1820692,-60.6463365,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.980271464,-60.279082844,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.9138115,-60.2275544,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.41227324,-60.673069465,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.651501617,-61.084504027,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-37.28472315,-60.342755627,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.5143954,-60.5474023,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.922523815,-60.215792542,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.892093579,-60.318004656,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.908140792,-60.365176129,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.8185482,-60.385061,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.7927946,-60.6360127,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.98256235,-60.24344894,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.812599182,-60.350936891,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-37.0438314,-61.1407248,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.949565979,-60.110895408,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.843238222,-60.223427138,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.7335474,-60.5955954,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.990363212,-60.310808118,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.8293322,-61.1255567,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.8993962,-60.1455471,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.532888708,-60.882454913,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.961201976,-60.100827933,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.88006945,-60.178055297,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.7705364,-61.2818613,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.7250646,-60.276205,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.943660537,-60.157827183,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.8410918,-60.4478581,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.7044536,-60.4280269,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-37.145768713,-60.977484401,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.875899595,-60.147319691,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.864137026,-60.08164247,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.6551192,-60.7438976,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.9661162,-60.2584252,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-37.0009645,-60.1886992,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-37.128965369,-60.40993039,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.972646979,-60.436308622,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.977116,-60.9859857,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.6721853,-60.5713249,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.481060756,-60.814847883,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.9332836,-60.721619,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-36.796281877,-60.311721086,OLAVARRIA,OLAVARRIA,BUENOS AIRES
-31.4788195,-61.62158,COLONIA ITURRASPE,CASTELLANOS,SANTA FE
-33.050945267,-61.487723342,AREQUITO,CASEROS,SANTA FE
-33.148300838,-61.471334935,AREQUITO,CASEROS,SANTA FE
-22.34120267,-65.17109986,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.27221734,-64.96329924,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.26085,-65.16353,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.21907088,-64.89133406,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.33043511,-65.1269968,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.20926263,-64.9669281,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.2361511,-64.93101785,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.245227814,-65.078018188,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.18128,-64.95977,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.23831,-65.01659,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.36944976,-65.14637476,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.395233154,-64.82989502,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.408863068,-65.259094238,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.334178925,-65.175895691,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.10361871,-65.02203878,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.149839401,-65.02141571,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.287244797,-64.920921326,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.229461501,-64.950325547,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.17502,-64.93502,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.16734,-64.9073,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.37389946,-65.178741455,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.30340389,-64.98355327,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.15450164,-65.0182986,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.12536665,-64.90085004,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-22.262570806,-64.999342591,SANTA VICTORIA OESTE,SANTA VICTORIA,SALTA
-25.321181876,-64.917329425,RIO PIEDRAS,METAN,SALTA
-25.217257579,-64.930686146,RIO PIEDRAS,METAN,SALTA
-25.145547867,-65.154006958,RIO PIEDRAS,METAN,SALTA
-30.46341428,-59.34085823,SAN RAMIREZ,LA PAZ,ENTRE RÍOS
-38.01481736,-65.584818951,PUELCHES,CURACO,LA PAMPA
-38.143772231,-65.910279081,PUELCHES,CURACO,LA PAMPA
-33.112158888,-60.566573784,GENERAL LAGOS,ROSARIO,SANTA FE
-26.891746562,-61.119342344,CORZUELA,GENERAL BELGRANO,CHACO
-26.89782559,-61.02852309,CORZUELA,GENERAL BELGRANO,CHACO
-26.845151262,-61.156831641,CORZUELA,GENERAL BELGRANO,CHACO
-27.10585501,-60.857506708,CORZUELA,GENERAL BELGRANO,CHACO
-26.95941313,-61.07284844,CORZUELA,GENERAL BELGRANO,CHACO
-26.968568802,-60.873462677,CORZUELA,GENERAL BELGRANO,CHACO
-26.965077007,-61.030713589,CORZUELA,GENERAL BELGRANO,CHACO
-26.993965072,-60.857751949,CORZUELA,GENERAL BELGRANO,CHACO
-26.955676009,-60.970757406,CORZUELA,GENERAL BELGRANO,CHACO
-32.417919159,-65.48777771,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
-32.376358046,-65.501204138,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
-32.40896557,-65.56209159,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
-32.34642911,-65.46720015,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
-32.358093262,-65.529525757,LAS AGUADAS,LIBERTADOR GENERAL SAN MARTÍN,SAN LUIS
-46.55884577,-67.616856369,CAÑADON SECO,DESEADO,SANTA CRUZ
-29.140890122,-67.157470703,SANAGASTA,SANAGASTA,LA RIOJA
-29.177150726,-67.043296814,SANAGASTA,SANAGASTA,LA RIOJA
-29.160524552,-67.091955631,SANAGASTA,SANAGASTA,LA RIOJA
-29.306449146,-67.041409736,SANAGASTA,SANAGASTA,LA RIOJA
-34.801558074,-58.391467719,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.785144251,-58.36814756,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.767377192,-58.34327714,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.791136751,-58.350598184,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.804475908,-58.344782553,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.855689501,-58.361646543,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.831541589,-58.398687487,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.818958317,-58.423561061,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.886011418,-58.381830184,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.860945026,-58.389147692,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.821075164,-58.344745799,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-34.786674358,-58.321936352,ALMIRANTE BROWN,ALMIRANTE BROWN,BUENOS AIRES
-32.628560075,-62.689114908,BELL VILLE,UNION,CÓRDOBA
-32.567857,-62.6776939,BELL VILLE,UNION,CÓRDOBA
-46.44594923,-67.525156497,CALETA OLIVIA,DESEADO,SANTA CRUZ
-30.968514977,-58.612747928,NUEVA VIZCAYA,FEDERAL,ENTRE RÍOS
-34.491848399,-58.786378032,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
-34.480495795,-58.804258898,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
-34.521161197,-58.770881113,JOSE C PAZ,JOSE C PAZ,BUENOS AIRES
-28.164064062,-63.469345611,GARZA,SARMIENTO,SANTIAGO DEL ESTERO
-34.3064955,-60.6245184,ROJAS,ROJAS,BUENOS AIRES
-34.3166668,-60.7466182,ROJAS,ROJAS,BUENOS AIRES
-34.087651518,-60.667256401,ROJAS,ROJAS,BUENOS AIRES
-34.2870114,-60.6908135,ROJAS,ROJAS,BUENOS AIRES
-34.307846,-61.0004538,ROJAS,ROJAS,BUENOS AIRES
-34.181495666,-60.797481537,ROJAS,ROJAS,BUENOS AIRES
-34.373569611,-60.652371027,ROJAS,ROJAS,BUENOS AIRES
-34.20364677,-60.952852022,ROJAS,ROJAS,BUENOS AIRES
-34.1578906,-60.7016991,ROJAS,ROJAS,BUENOS AIRES
-34.154438787,-61.012871117,ROJAS,ROJAS,BUENOS AIRES
-34.193237415,-60.6820265,ROJAS,ROJAS,BUENOS AIRES
-34.038100265,-60.868526417,ROJAS,ROJAS,BUENOS AIRES
-34.1614703,-60.6092371,ROJAS,ROJAS,BUENOS AIRES
-34.352424622,-60.745353699,ROJAS,ROJAS,BUENOS AIRES
-34.2433108,-60.532499,ROJAS,ROJAS,BUENOS AIRES
-33.91595088,-60.937938024,ROJAS,ROJAS,BUENOS AIRES
-34.006214142,-60.98638916,ROJAS,ROJAS,BUENOS AIRES
-34.187229226,-60.717941192,ROJAS,ROJAS,BUENOS AIRES
-34.268944851,-60.871777342,ROJAS,ROJAS,BUENOS AIRES
-34.358813249,-60.784569326,ROJAS,ROJAS,BUENOS AIRES
-34.170717599,-60.743833682,ROJAS,ROJAS,BUENOS AIRES
-34.0764093,-60.9715417,ROJAS,ROJAS,BUENOS AIRES
-34.4720436,-60.6832105,ROJAS,ROJAS,BUENOS AIRES
-29.139635716,-62.562396054,PINTO,AGUIRRE,SANTIAGO DEL ESTERO
-32.2162493,-64.6720222,AMBOY,CALAMUCHITA,CÓRDOBA
-32.2183924,-64.6415206,AMBOY,CALAMUCHITA,CÓRDOBA
-32.175916522,-64.576548317,AMBOY,CALAMUCHITA,CÓRDOBA
-48.420131683,-67.354904175,AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
-49.064224243,-68.324668884,AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
-48.731674194,-67.701408386,AREA SIN GOBIERNO,MAGALLANES,SANTA CRUZ
-30.536145346,-61.961680584,SUARDI,SAN CRISTOBAL,SANTA FE
-23.402354468,-65.391045155,HUACALERA,TILCARA,JUJUY
-23.44775,-65.24884,HUACALERA,TILCARA,JUJUY
-23.326789,-65.47565899,HUACALERA,TILCARA,JUJUY
-23.402354468,-65.391045155,HUACALERA,TILCARA,JUJUY
-23.43416426,-65.351334137,HUACALERA,TILCARA,JUJUY
-33.05443762,-65.62269821,LA TOMA,CORONEL PRINGLES,SAN LUIS
-41.247516564,-68.700341069,MAQUINCHAO,25 DE MAYO,RÍO NEGRO
-35.834410002,-58.477360025,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.9302358,-58.7735013,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.8099286,-58.7384442,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.8738986,-58.5835485,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.769457736,-58.49446151,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.7960497,-58.5902581,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.673372963,-58.958299957,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.780645752,-58.495208405,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-35.848590002,-58.416280028,GENERAL BELGRANO,GENERAL BELGRANO,BUENOS AIRES
-29.02498125,-59.18185701,LAVALLE,LAVALLE,CORRIENTES
-29.0035214,-59.1726468,LAVALLE,LAVALLE,CORRIENTES
-28.9843867,-59.1486856,LAVALLE,LAVALLE,CORRIENTES
-29.023997348,-59.143363895,LAVALLE,LAVALLE,CORRIENTES
-29.065367,-59.2059937,LAVALLE,LAVALLE,CORRIENTES
-27.558725149,-60.525990754,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
-27.864801534,-60.367819508,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
-27.87571085,-60.648021505,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
-27.644956582,-60.707730774,ENRIQUE URIEN,MAYOR LUIS J FONTANA,CHACO
-31.768503,-61.3988686,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
-31.8169489,-61.1663277,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
-31.7032972,-61.2418905,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
-31.76579633,-61.321023639,SANTA CLARA DE BUENA VISTA,LAS COLONIAS,SANTA FE
-30.088494983,-63.453583662,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.954778771,-63.333269786,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.148834229,-63.717662811,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.899700165,-63.525772095,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.958992368,-63.829392382,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.8135599,-63.75524,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.951206207,-63.025436401,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.852395572,-63.086078117,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.89233017,-63.827648163,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.670793014,-63.72388041,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.017289173,-63.053073115,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.720791317,-63.582044188,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.139223099,-63.438087463,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.787164688,-63.731506348,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.701099214,-63.614692906,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.773042678,-63.455763055,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.1320698,-63.5176265,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-29.757294391,-63.39076668,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.182365813,-63.484456548,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.049170141,-63.544547132,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-30.135083115,-63.442940927,AREA SIN GOBIERNO,RIO SECO,CÓRDOBA
-26.785012551,-54.901151033,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
-26.818682882,-54.957612007,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
-26.853336701,-54.88929241,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
-26.793895721,-54.966495514,GARUHAPE,LIBERTADOR GENERAL SAN MARTÍN,MISIONES
-31.315161675,-65.091026059,SALSACATE,POCHO,CÓRDOBA
-31.357051652,-65.101950716,SALSACATE,POCHO,CÓRDOBA
-31.373725053,-65.158272,SALSACATE,POCHO,CÓRDOBA
-31.345400053,-65.080116874,SALSACATE,POCHO,CÓRDOBA
-32.847225189,-62.834190369,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.237827301,-62.487499237,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.724636034,-62.925200879,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.036872223,-62.468902893,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.761426847,-62.4990827,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.539891132,-62.417149197,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.9425718,-62.6497689,AREA SIN GOBIERNO,UNION,CÓRDOBA
-33.8033612,-62.8044841,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.951595809,-62.50754552,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.6640192,-62.7458186,AREA SIN GOBIERNO,UNION,CÓRDOBA
-33.551448822,-62.734004974,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.8009107,-63.1176321,AREA SIN GOBIERNO,UNION,CÓRDOBA
-33.4792553,-62.9564065,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.970558162,-62.868255574,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.548580177,-63.119600141,AREA SIN GOBIERNO,UNION,CÓRDOBA
-33.538325471,-63.047927679,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.662101492,-62.450894402,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.520112892,-62.507923349,AREA SIN GOBIERNO,UNION,CÓRDOBA
-33.594585,-62.9826062,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.783660703,-62.807724497,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.0755992,-62.800031,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.774095601,-62.721423967,AREA SIN GOBIERNO,UNION,CÓRDOBA
-32.71482226,-62.592300765,AREA SIN GOBIERNO,UNION,CÓRDOBA
